latency_ms,timestamp,target_ip,status
303.0,2026-08-21 00:51:47.429479,1.1.1.1,success
203.0,2026-08-21 00:59:06.953337,1.1.1.1,success
180.0,2026-08-21 00:59:57.947214,1.1.1.1,success
153.0,2026-08-21 01:00:11.055624,1.1.1.1,success
62.5,2026-08-21 07:38:00.388432,1.1.1.1,success
107.0,2026-08-21 07:43:24.510465,1.1.1.1,success
260.0,2026-08-21 07:45:53.503294,1.1.1.1,success
315.0,2026-08-21 07:54:41.885381,1.1.1.1,success
97.0,2026-08-21 07:58:32.198300,1.1.1.1,success
,2026-08-21 08:01:24.671203,192.0.2.1,failure
108.0,2026-08-21 08:03:02.435320,1.1.1.1,success
148.0,2026-08-21 08:12:03.213933,1.1.1.1,success
30.1,2026-08-21 08:17:19.534057,1.1.1.1,success
204.0,2026-08-21 08:25:42.932684,1.1.1.1,success
125.0,2026-08-21 08:30:24.125611,1.1.1.1,success
50.2,2026-08-21 08:34:43.727800,1.1.1.1,success
118.0,2026-08-21 08:34:53.849828,1.1.1.1,success
31.5,2026-08-21 08:35:03.885534,1.1.1.1,success
136.0,2026-08-21 08:35:14.025972,1.1.1.1,success
30.8,2026-08-21 08:43:24.143767,1.1.1.1,success
103.0,2026-08-21 08:43:34.251569,1.1.1.1,success
137.0,2026-08-21 08:43:44.392297,1.1.1.1,success
130.0,2026-08-21 08:43:54.526471,1.1.1.1,success
